id,referenced_tweets,possibly_sensitive,public_metrics,context_annotations,lang,created_at,geo,text,source,in_reply_to_user_id,conversation_id,reply_settings,entities,author_id,attachments
1522150682656190464,"[{'type': 'replied_to', 'id': '1518905789888581633'}]",False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:17.000Z,{'place_id': 'e2dc13b79caaa7a9'},"Wordle (ES)  #119 4/6

⬜🟩⬜⬜🟨
🟨🟩🟨🟨⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩
 https://t.co/GGHdXVePLz",Twitter for Android,220115511,1498582426121080832,everyone,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/GGHdXVePLz', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com', 'images': [{'url': 'https://pbs.twimg.com/news_img/1521670739459411968/tTDycHOP?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1521670739459411968/tTDycHOP?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Un juego de palabras diario', 'description': 'Adivina la palabra oculta en 6 intentos. Un nuevo puzzle cada día.', 'unwound_url': 'https://wordle.danielfrg.com/'}]}",220115511,
1522150667753771008,,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:14.000Z,,"Wordle 320 5/6

⬛🟨⬛⬛🟨
⬛⬛⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,,1522150667753771008,everyone,,383553133,
1522150667699298304,,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:14.000Z,,"Wordle 320 4/6

⬛🟩⬛🟩⬛
🟨🟩⬛🟩⬛
⬛🟩⬛⬛⬛
🟩🟩🟩🟩🟩",Twitter for iPhone,,1522150667699298304,everyone,,4851324616,
1522150662896824321,,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:12.000Z,,"Wordle 320 X/6

🟨🟨⬛⬛⬛
⬛🟩🟨🟩⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟨🟨
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩",Twitter for iPhone,,1522150662896824321,everyone,,55961868,
1522150661982507011,,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:12.000Z,,"Wordle 320 3/6

⬛🟨⬛🟩⬛
🟨⬛🟩🟩⬛
🟩🟩🟩🟩🟩",Twitter for Android,,1522150661982507011,everyone,,14625300,
1522150661902712832,,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:12.000Z,,"Wordle 320 5/6

⬛🟨🟨⬛🟨
🟨🟨⬛🟨⬛
⬛🟩⬛🟩🟩
🟨🟩⬛🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,,1522150661902712832,everyone,,959068383424561152,
1522150659239583745,"[{'type': 'retweeted', 'id': '1522081385082765315'}]",False,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:12.000Z,,"RT @MavoSthe: @albolt76 @dawardle Wordle 320 6/6
#wordle320
⬛⬛🟨⬛⬛
⬛⬛🟨🟨🟨
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
🟨🟩⬛🟩🟩
🟩🟩🟩🟩🟩
I dispute this being an official english wo…",Twitter Web App,,1522150659239583745,everyone,"{'hashtags': [{'start': 49, 'end': 59, 'tag': 'wordle320'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'MavoSthe', 'id': '66673228'}, {'start': 14, 'end': 23, 'username': 'albolt76', 'id': '1160130818678972416'}, {'start': 24, 'end': 33, 'username': 'dawardle', 'id': '1165789231'}]}",1160130818678972416,
1522150657188196353,,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:11.000Z,,"Wordle 320 4/6

⬛⬛⬛⬛⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,,1522150657188196353,everyone,,2446822034,
1522150652524351488,,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:10.000Z,,"Wordle 320 4/6

⬛🟨⬛⬛🟨
🟨⬛🟩⬛⬛
⬛⬛⬛⬛🟨
🟩🟩🟩🟩🟩 https://t.co/jvGgjR6RJk",Twitter for iPhone,,1522150652524351488,everyone,"{'urls': [{'start': 40, 'end': 63, 'url': 'https://t.co/jvGgjR6RJk', 'expanded_url': 'https://twitter.com/JamesLethal/status/1522150652524351488/photo/1', 'display_url': 'pic.twitter.com/jvGgjR6RJk', 'media_key': '16_1522150646392184832'}]}",712266716,{'media_keys': ['16_1522150646392184832']}
1522150638351974401,,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:07.000Z,,"Wordle 320 3/6

⬜🟩⬜⬜🟩
🟨🟩⬜🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,,1522150638351974401,everyone,,36634415,
1522150634195197952,,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:06.000Z,,"One of those 

Wordle 320 6/6

⬜⬜⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
🟩⬜⬜⬜⬜
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩",Twitter for Android,,1522150634195197952,everyone,,741306513181057025,
1522150621855559681,,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:03.000Z,,"Wordle 320 4/6

⬜⬜⬜⬜🟨
⬜⬜🟨🟨⬜
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩
#wordle320 #wordle320x #wordle",Twitter Web App,,1522150621855559681,everyone,"{'hashtags': [{'start': 40, 'end': 50, 'tag': 'wordle320'}, {'start': 51, 'end': 62, 'tag': 'wordle320x'}, {'start': 63, 'end': 70, 'tag': 'wordle'}]}",2372054760,
1522150615115354115,,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:01.000Z,,"Wordle 320 4/6

⬛🟨⬛⬛🟨
🟨⬛🟨⬛🟨
🟩⬛🟩🟨🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,,1522150615115354115,everyone,,1235573380612534280,
1522150613412454405,,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:01.000Z,,"Wordle 320 6/6

⬛🟨⬛⬛⬛
🟨🟩⬛⬛🟨
⬛🟩🟨🟩⬛
⬛🟩⬛🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩how",Twitter for iPhone,,1522150613412454405,everyone,,624087208,
1522150609109012480,,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T09:46:00.000Z,,"Wordle (ES)  #119 5/6

⬜🟨🟨⬜🟩
🟨🟩⬜⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/j98wLmaYg3",Twitter Web App,,1522150609109012480,everyone,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/j98wLmaYg3', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",382713931,
